bin,enhancer_chrom,enhancer_distance_to_promoter,enhancer_end,enhancer_name,enhancer_start,label,promoter_chrom,promoter_end,promoter_name,promoter_start,window_end,window_start,window_chrom,window_name,interactions_in_window,active_promoters_in_window,CTCF (enhancer),DNase-seq (enhancer),EZH2 (enhancer),FAIRE-seq (enhancer),FOS (enhancer),GATA2 (enhancer),H2AZ (enhancer),H3K27ac (enhancer),H3K27me3 (enhancer),H3K36me3 (enhancer),H3K4me1 (enhancer),H3K4me2 (enhancer),H3K4me3 (enhancer),H3K79me2 (enhancer),H3K9ac (enhancer),H3K9me1 (enhancer),H3K9me3 (enhancer),H4K20me1 (enhancer),JUN (enhancer),MAX (enhancer),MYC (enhancer),POLR2A (enhancer),CAGE (enhancer),CTCF (promoter),DNase-seq (promoter),EZH2 (promoter),FAIRE-seq (promoter),FOS (promoter),GATA2 (promoter),H2AZ (promoter),H3K27ac (promoter),H3K27me3 (promoter),H3K36me3 (promoter),H3K4me1 (promoter),H3K4me2 (promoter),H3K4me3 (promoter),H3K79me2 (promoter),H3K9ac (promoter),H3K9me1 (promoter),H3K9me3 (promoter),H4K20me1 (promoter),JUN (promoter),MAX (promoter),MYC (promoter),POLR2A (promoter),CAGE (promoter),CTCF (window),DNase-seq (window),EZH2 (window),FAIRE-seq (window),FOS (window),GATA2 (window),H2AZ (window),H3K27ac (window),H3K27me3 (window),H3K36me3 (window),H3K4me1 (window),H3K4me2 (window),H3K4me3 (window),H3K79me2 (window),H3K9ac (window),H3K9me1 (window),H3K9me3 (window),H4K20me1 (window),JUN (window),MAX (window),MYC (window),POLR2A (window),CAGE (window)
"[33835, 131310.8]",chr1,119012,3421842,HUVEC|chr1:3420459-3421842,3420459,1,chr1,3541719,HUVEC|chr1:3540856-3541719,3540856,3540855,3421843,chr1,HUVEC|chr1:3421843-3540855,1,0,0.0,0.210412147505423,0.0,2.8127259580621836e-05,0.09491749585889445,0.0,0.003864634851771511,0.016075697758496023,0.0,0.0,0.009986934201012293,0.002734186550976139,0.0,0.0,0.008703145336225597,0.0,0.0,0.0,0.04654298011354049,0.031340257802361965,0.014242625652113596,0.020560733678667606,0.0042769342010122915,0.0,0.4322132097334878,0.0,3.9745075318655846e-05,0.0,0.0,0.01652260718424102,0.010490533024333722,0.0,0.0,0.003969443800695249,0.0075980996523754354,0.02499342989571263,0.0,0.014650220162224796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018643684820393976,0.005162939457850583,0.013317984741034518,0.0,2.640069908916748e-06,0.0008891735153020527,0.0004651807081762209,0.0008588724666420192,0.0005845743286391289,0.0,0.0,0.0008721865022014585,0.00046244042617551176,0.0003914274190837898,2.7017947769972776e-05,0.0006687878533257152,2.704004638187746e-05,0.0,0.0,0.0006301960337835344,0.0009306636795214138,0.0,0.0,0.0011361879474338712
"(305587.4, 495816.4]",chr1,482121,12193661,HUVEC|chr1:12193000-12193661,12193000,1,chr1,12680000,HUVEC|chr1:12675784-12680000,12675784,12675783,12193662,chr1,HUVEC|chr1:12193662-12675783,1,2,0.0,0.10741301059001512,0.0,5.537065052950076e-05,0.0,0.040423136157306354,0.011596959152798788,0.008328275340393343,0.0,0.0,0.011438108925869892,0.015601906202723148,0.005155582450832073,0.0,0.005286505295007565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016868381240544628,0.049054782563571396,0.1083965844402277,0.0,2.7585388994307405e-05,0.041543565923904555,0.006313290286884178,0.004622720588235294,0.003633484345351044,0.0,0.0,0.0036996038899430738,0.002291826375711575,0.006644184060721063,0.0026416722011385198,0.006571499051233398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025398021821631873,0.0022466902120302674,0.009435390700674727,0.0,3.311616793294629e-06,0.0034583866488311077,0.0023798189602148964,0.0003032305168204661,0.0007467420626772117,2.0578029166951862e-05,0.0009210552122807346,0.0008540329502344848,0.0004194658394884271,0.00019660429643180861,0.00034133225891425594,0.000593609218432717,7.060737864560972e-06,1.4612037227169113e-05,1.4510340765077646e-05,0.0016534321892529423,0.00030644495745331006,0.00011099582400572905,0.00022666269586483335,0.001724081879860043
"(131310.8, 218794.8]",chr1,174270,16127559,HUVEC|chr1:16125278-16127559,16125278,1,chr1,16302773,HUVEC|chr1:16301831-16302773,16301831,16301830,16127560,chr1,HUVEC|chr1:16127560-16301830,1,1,0.0,0.03594914511179308,0.0,2.3016220955721176e-05,0.0442317117312103,0.031338226143143445,0.0026606225339763263,0.004811380973257343,0.0,0.0,0.0023630995177553703,0.004053708899605437,0.0,0.0,0.005672555896536606,0.0,0.0,0.0,0.017060336782093732,0.0,0.0,0.0,0.0034809294169224026,0.017333643156168047,0.3174097664543524,0.0,3.5774946921443736e-05,0.0,0.0,0.01972400212314225,0.010674607218683652,0.0,0.0,0.011124256900212315,0.022439851380042463,0.021281932059447985,0.014774384288747347,0.021992229299363057,0.0,0.0,0.0,0.0,0.0,0.0,0.04538192734653428,0.011146496815286623,0.0014924398169747122,0.012371607276065875,0.0,3.910024674355884e-06,0.0024524690994073167,0.0025371407526728054,0.00038278843174384576,0.0009236531818442644,0.0,0.0012113225454754117,0.0007987280656452632,0.0007371891318069661,0.0008788479944913066,0.0039754503930682274,0.0010205961439146152,6.967297871119526e-05,0.0,0.0003205612555230389,0.0014713240561485754,0.00017322292155429276,0.00011373064070408848,0.0012764197314361755,0.0036836713146267365
"(218794.8, 305587.4]",chr1,277180,16400647,HUVEC|chr1:16399453-16400647,16399453,1,chr1,16679559,HUVEC|chr1:16677829-16679559,16677829,16677828,16400648,chr1,HUVEC|chr1:16400648-16677828,2,2,0.06252823138331105,0.26549413735343386,0.0,0.0,0.0,0.0,0.016428023450586266,0.0,0.0,0.0,0.008289832495812397,0.00773108877721943,0.005362839195979901,0.0,0.005942202680067001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004560301507537689,0.034204600528271505,0.12658959537572254,0.0,1.9653179190751446e-05,0.0,0.0,0.01079701156069364,0.008673618497109827,0.0,0.0,0.005662057803468208,0.01652583815028902,0.014893606936416186,0.004088323699421965,0.011541156069364162,0.0,0.0,0.0,0.0,0.0,0.0,0.019078941109179074,0.009875722543352602,0.003283287620458536,0.013705895086225557,0.0004416117047531889,4.910166678692547e-06,0.003937751948352384,0.002591460109840263,0.0006429578973951946,0.0010238582870336966,6.98047838949419e-05,0.00065219788585035,0.000929402770762681,0.0008646118767587849,0.0006087098636265244,0.0015453032686341005,0.0008366561800995743,5.526354715347428e-05,1.142957644851721e-05,0.00017203189263294608,0.0017252822662892724,0.0003677294087913742,0.0002944812660732907,0.0003921946198621881,0.002151406414604237
"(218794.8, 305587.4]",chr1,274977,16402850,HUVEC|chr1:16402337-16402850,16402337,1,chr1,16679559,HUVEC|chr1:16677829-16679559,16677829,16677828,16402851,chr1,HUVEC|chr1:16402851-16677828,1,2,0.0,0.2046783625730994,0.0,2.5925925925925925e-05,0.09874873265048772,0.0,0.008800955165692008,0.009373859649122808,0.0,0.0,0.007310155945419103,0.004351052631578948,0.0,0.0,0.0,0.0,0.0,0.0,0.04976863105121442,0.0,0.0,0.0,0.0,0.034204600528271505,0.12658959537572254,0.0,1.9653179190751446e-05,0.0,0.0,0.01079701156069364,0.008673618497109827,0.0,0.0,0.005662057803468208,0.01652583815028902,0.014893606936416186,0.004088323699421965,0.011541156069364162,0.0,0.0,0.0,0.0,0.0,0.0,0.019078941109179074,0.009875722543352602,0.0033095919391028955,0.013433850831160424,0.0004451497118794987,4.901137186019195e-06,0.003969299559760685,0.00261222179762498,0.0006481090054804584,0.0010320610087389127,7.036403044618277e-05,0.0006574230208344698,0.0009180698749349946,0.0008634214134273049,0.0006135865908785099,0.0015576835880819122,0.000843359117307993,5.570629543561825e-05,1.1521145404888408e-05,0.0001734101397571433,0.001646255617163572,0.00037067550205578323,0.0002968405260447045,0.00039533671810151866,0.002168642577379208
"(218794.8, 305587.4]",chr1,272635,20539800,HUVEC|chr1:20539704-20539800,20539704,1,chr1,20812780,HUVEC|chr1:20812437-20812780,20812437,20812436,20539801,chr1,HUVEC|chr1:20539801-20812436,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.038456354166666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27113702623906705,0.0,3.760932944606414e-05,0.0,0.0,0.02791463556851312,0.013905422740524783,0.0,0.0,0.0,0.03166177842565598,0.03621440233236152,0.0,0.047535102040816325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06392128279883381,0.001912084459044945,0.0037155904414326846,0.0004861244314096356,9.947365525336073e-07,0.0010065773195436078,7.579020746430282e-05,0.00024442932858950614,4.1206411502558365e-05,0.000730402222752031,0.0,0.00010532323436095879,0.0001013067287765694,4.556106149247162e-05,0.0,0.0001018904395987309,2.2269847965228233e-05,0.0,1.458506794798907e-05,0.0004970915085384532,0.00021320429704644488,0.0,0.0,0.00030870020356887424
"(131310.8, 218794.8]",chr1,200403,23303152,HUVEC|chr1:23302083-23303152,23302083,1,chr1,23504800,HUVEC|chr1:23503557-23504800,23503557,23503556,23303153,chr1,HUVEC|chr1:23303153-23503556,1,1,0.16734134393725725,0.08980355472404115,0.0,4.172123479887745e-05,0.0547568872720029,0.0,0.006384593077642658,0.008627913938260057,0.0,0.0,0.01610646398503274,0.010351047708138448,0.003528952291861553,0.0,0.007103779232927969,0.0,0.0,0.0,0.07588400265416473,0.0,0.0,0.0,0.0,0.027322808160118266,0.16894609814963799,0.0,4.207562349155269e-05,0.0,0.0,0.009728632341110217,0.019694666130329847,0.0,0.0,0.014178728881737731,0.007558350764279968,0.009083990345937248,0.0,0.015915905068382946,0.0,0.0,0.0,0.02241532102683162,0.0,0.0,0.01584282214969469,0.014746548672566372,0.0021426738340147087,0.007230430682175416,0.0,2.5144334166654194e-06,0.0023295847181012772,0.001891605290312818,0.00016093292016586575,0.0008858983148954855,0.00024196039979441426,0.0014265184153929833,0.001089766720059081,0.001072213839114185,0.0006884771685054615,0.004336396710628084,0.0009040417558619381,0.00015566603294361861,0.0,0.0012013856578993328,0.0009025510629060854,0.0004303001816094365,0.00016172665745242836,0.000578381330721296,0.004519128705658114
"(495816.4, 1672258]",chr1,507359,23303152,HUVEC|chr1:23302083-23303152,23302083,1,chr1,23811327,HUVEC|chr1:23810513-23811327,23810513,23810512,23303153,chr1,HUVEC|chr1:23303153-23810512,2,4,0.16734134393725725,0.08980355472404115,0.0,4.172123479887745e-05,0.0547568872720029,0.0,0.006384593077642658,0.008627913938260057,0.0,0.0,0.01610646398503274,0.010351047708138448,0.003528952291861553,0.0,0.007103779232927969,0.0,0.0,0.0,0.07588400265416473,0.0,0.0,0.0,0.0,0.0,0.6695331695331695,0.0,3.243243243243243e-05,0.0,0.0,0.020734692874692873,0.004777788697788698,0.0,0.0,0.002998734643734644,0.020184619164619163,0.03035041769041769,0.0,0.012202678132678134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02117321867321867,0.001807248700488372,0.007954919494874438,0.0001401592182297032,2.916869514485799e-06,0.002479613509953168,0.0017978119231363463,0.0004138258708330787,0.0006838504885101082,0.00012053628692897927,0.001097068308633532,0.0009720210344154732,0.0008031326141844335,0.0005801296714949375,0.002214388963239047,0.0007350632983745236,8.881746455665515e-05,5.923255525180395e-05,0.0006178558377795604,0.0013100659665579387,0.00034012281340530453,0.00013970704536293412,0.00041863660359175905,0.0033768956892456683
"[33835, 131310.8]",chr1,123693,26361800,HUVEC|chr1:26361217-26361800,26361217,1,chr1,26485791,HUVEC|chr1:26485495-26485791,26485495,26485494,26361801,chr1,HUVEC|chr1:26361801-26485494,3,1,0.03186796487779056,0.03945111492281304,0.0,8.919382504288164e-05,0.0,0.0,0.019536312178387652,0.0,0.0,0.0,0.01031704974271012,0.021952246998284734,0.03807680960548885,0.0,0.019693876500857632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1858108108108108,0.0,7.364864864864865e-05,0.0,0.0,0.0071964189189189206,0.00805668918918919,0.0,0.0,0.020563175675675678,0.025533074324324324,0.031992094594594594,0.0,0.017168885135135138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038192567567567566,0.0046405881640673675,0.009572085728375899,0.0012592931455802617,4.369689473131058e-06,0.002258542549722425,0.001796501813326974,0.0007899115552213949,0.0003546454528550524,0.0009985212582765395,0.00013486688818283975,0.000610448610673199,0.0006431208718359163,0.000443902969448554,5.0140266627860914e-05,0.0002909987630666247,5.3905071426839025e-05,0.0,0.0,0.0003119758315039703,0.00023237335495446954,0.0,0.0,0.0009581583436411113
"(131310.8, 218794.8]",chr1,134433,26361800,HUVEC|chr1:26361217-26361800,26361217,1,chr1,26496990,HUVEC|chr1:26496235-26496990,26496235,26496234,26361801,chr1,HUVEC|chr1:26361801-26496234,6,2,0.03186796487779056,0.03945111492281304,0.0,8.919382504288164e-05,0.0,0.0,0.019536312178387652,0.0,0.0,0.0,0.01031704974271012,0.021952246998284734,0.03807680960548885,0.0,0.019693876500857632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2941932213064966,0.4052980132450331,0.0,6.622516556291391e-05,0.04036446554419073,0.0,0.019166940397350993,0.01225066225165563,0.0,0.0,0.0,0.013115231788079471,0.02011225165562914,0.0,0.02500128476821192,0.0,0.0,0.0,0.10206813118622768,0.064250442597129,0.04847168802312025,0.0,0.020973509933774833,0.007401332525686341,0.0111654132541861,0.001158686833264595,4.614194431426808e-06,0.002304799231503276,0.0016529773105997292,0.0009576163590785001,0.00032631243816622405,0.0009187482984088729,0.00012409222437943063,0.0006935165472763384,0.0007291674663215132,0.0005351026905596096,4.6134505664531774e-05,0.0003503497653106008,4.9598536073731895e-05,0.0,0.0,0.0008602847929587415,0.0002138087924422069,0.0,0.0,0.0012372185400906027
