bin,enhancer_chrom,enhancer_distance_to_promoter,enhancer_end,enhancer_name,enhancer_start,label,promoter_chrom,promoter_end,promoter_name,promoter_start,window_end,window_start,window_chrom,window_name,interactions_in_window,active_promoters_in_window,CTCF (enhancer),DNase-seq (enhancer),EZH2 (enhancer),FAIRE-seq (enhancer),GRHL3 (enhancer),H2AZ (enhancer),H3K27ac (enhancer),H3K27me3 (enhancer),H3K36me3 (enhancer),H3K4me1 (enhancer),H3K4me2 (enhancer),H3K4me3 (enhancer),H3K79me2 (enhancer),H3K9ac (enhancer),H3K9me1 (enhancer),H3K9me3 (enhancer),H4K20me1 (enhancer),POLR2A (enhancer),WDR5 (enhancer),CAGE (enhancer),CTCF (promoter),DNase-seq (promoter),EZH2 (promoter),FAIRE-seq (promoter),GRHL3 (promoter),H2AZ (promoter),H3K27ac (promoter),H3K27me3 (promoter),H3K36me3 (promoter),H3K4me1 (promoter),H3K4me2 (promoter),H3K4me3 (promoter),H3K79me2 (promoter),H3K9ac (promoter),H3K9me1 (promoter),H3K9me3 (promoter),H4K20me1 (promoter),POLR2A (promoter),WDR5 (promoter),CAGE (promoter),CTCF (window),DNase-seq (window),EZH2 (window),FAIRE-seq (window),GRHL3 (window),H2AZ (window),H3K27ac (window),H3K27me3 (window),H3K36me3 (window),H3K4me1 (window),H3K4me2 (window),H3K4me3 (window),H3K79me2 (window),H3K9ac (window),H3K9me1 (window),H3K9me3 (window),H4K20me1 (window),POLR2A (window),WDR5 (window),CAGE (window)
"(119798, 169998]",chr1,140598,3400600,NHEK|chr1:3399800-3400600,3399800,1,chr1,3542000,NHEK|chr1:3541200-3542000,3541200,3541199,3400601,chr1,NHEK|chr1:3400601-3541199,6,0,0.197962262058375,0.015121424999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217427625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029854375,0.0,0.0,0.008720737499999999,0.0,0.0,0.0,0.029010737499999998,0.0062048625,0.0,0.0,0.0,0.056624325,0.051016775,0.0,0.0445362875,0.0,0.0,0.0,0.0,0.012580537500000002,0.045774999999999996,0.00608137261670809,0.0007680023186674064,0.0003559849560480797,6.813752684959957e-07,0.0004370325324684561,0.0003717869386477759,0.00010322273432054511,0.0021846657847195555,0.0,0.0006751979402267457,0.000757537020441258,0.0005040981379535981,2.5958832984821976e-05,0.00034152256788859013,2.7376207342920953e-05,0.00013253303745430233,9.663174440603707e-05,0.0,0.002306794264498784,0.00043859087611488045
"(119798, 169998]",chr1,132998,3408200,NHEK|chr1:3408000-3408200,3408000,1,chr1,3542000,NHEK|chr1:3541200-3542000,3541200,3541199,3408201,chr1,NHEK|chr1:3408201-3541199,5,0,0.62082643460783,0.0228633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008720737499999999,0.0,0.0,0.0,0.029010737499999998,0.0062048625,0.0,0.0,0.0,0.056624325,0.051016775,0.0,0.0445362875,0.0,0.0,0.0,0.0,0.012580537500000002,0.045774999999999996,0.004304528869574415,0.000777507406126408,0.0003763272594358404,7.203115836328366e-07,0.0004620061955818884,0.000393032226048512,0.00010912126498142831,0.002217422216875442,0.0,0.0007137812598685694,0.0008008255011353555,0.0005329041790102106,2.744221717619814e-05,0.0003610384366682205,2.894058557271538e-05,0.00014010646776643255,0.00010215364140814148,0.0,0.002368630881667394,0.00040184814809245237
"(119798, 169998]",chr1,132398,3408800,NHEK|chr1:3408600-3408800,3408600,1,chr1,3542000,NHEK|chr1:3541200-3542000,3541200,3541199,3408801,chr1,NHEK|chr1:3408801-3541199,4,0,0.0,0.03469509999999999,0.0,0.0,0.0210161,0.0,0.0,0.0,0.0,0.022266249999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01386835,0.0,0.0,0.008720737499999999,0.0,0.0,0.0,0.029010737499999998,0.0062048625,0.0,0.0,0.0,0.056624325,0.051016775,0.0,0.0445362875,0.0,0.0,0.0,0.0,0.012580537500000002,0.045774999999999996,0.004324036092657428,0.0007286205984984669,0.00037803269573896816,7.235758848320972e-07,0.0004640999108747866,0.0003948133657608121,0.00010961577969455733,0.002227471109835496,0.0,0.0006833806401909395,0.0008044546745419115,0.0005353191891116179,2.7566579555582412e-05,0.0003626745872294143,2.9071738243780116e-05,0.00014074140092750644,0.00010261658031088083,0.0,0.002379365020619647,0.0003947567183794316
"(119798, 169998]",chr1,120198,3421000,NHEK|chr1:3420800-3421000,3420800,1,chr1,3542000,NHEK|chr1:3541200-3542000,3541200,3541199,3421001,chr1,NHEK|chr1:3421001-3541199,3,0,0.0,0.02485555,0.0,0.0,0.0,0.0,0.022925650000000002,0.0,0.0,0.03510315000000001,0.01966045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0,0.008720737499999999,0.0,0.0,0.0,0.029010737499999998,0.0062048625,0.0,0.0,0.0,0.056624325,0.051016775,0.0,0.0445362875,0.0,0.0,0.0,0.0,0.012580537500000002,0.045774999999999996,0.004762922266557331,0.0007543558129087008,0.0004164027092834149,7.970182532155278e-07,0.000455991447445049,0.0004348866037704454,0.00012074169287342553,0.0023386225228373197,0.0,0.0007527432236809265,0.0008540040599677199,0.0005896536548029085,3.0364565134195245e-05,0.00039948576515416224,0.0,0.0001550265395430872,0.00011303208040067223,0.0,0.002225003660626632,0.0003819115126707598
"[43598, 119798]",chr1,119798,3421400,NHEK|chr1:3421000-3421400,3421000,1,chr1,3542000,NHEK|chr1:3541200-3542000,3541200,3541199,3421401,chr1,NHEK|chr1:3421401-3541199,2,0,0.0,0.012427775,0.0,0.0,0.0,0.0,0.011462825000000001,0.00789165,0.0,0.017551575000000003,0.009830225,0.0,0.0,0.015207499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008720737499999999,0.0,0.0,0.0,0.029010737499999998,0.0062048625,0.0,0.0,0.0,0.056624325,0.051016775,0.0,0.0445362875,0.0,0.0,0.0,0.0,0.012580537500000002,0.045774999999999996,0.004778825444461995,0.0007153788043206062,0.00041779305873593806,7.996794604250489e-07,0.0004575139818694803,0.0004363386700946594,8.287099951585169e-05,0.002346431075644002,0.0,0.0007552565986076562,0.0008240328720012021,0.0005916224811766472,3.0465951017546205e-05,0.0004008196297100118,0.0,0.00015554416601278818,0.00011340948930700012,0.0,0.0022324328452895704,0.0003831866976076394
"[43598, 119798]",chr1,119398,3421800,NHEK|chr1:3421600-3421800,3421600,1,chr1,3542000,NHEK|chr1:3541200-3542000,3541200,3541199,3421801,chr1,NHEK|chr1:3421801-3541199,1,0,0.0,0.0,0.0,0.0,0.0132732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019855,0.0059,0.0,0.008720737499999999,0.0,0.0,0.0,0.029010737499999998,0.0062048625,0.0,0.0,0.0,0.056624325,0.051016775,0.0,0.0445362875,0.0,0.0,0.0,0.0,0.012580537500000002,0.045774999999999996,0.004794835178107323,0.0007177754233739258,0.0004191927239187248,8.023584984673111e-07,0.0004368131794502421,0.0004378004656694417,8.314862895525888e-05,0.002327853816646845,0.0,0.0006989865826898273,0.0008267934973785157,0.0005936044992378431,3.056801621467696e-05,0.00035121517948374345,0.0,0.00015606526072463523,0.00011378942695857553,0.0,0.0022399118075679654,0.00037458751402871067
"(350398, 1910998]",chr1,480198,21022800,NHEK|chr1:21022600-21022800,21022600,1,chr1,21503600,NHEK|chr1:21503000-21503600,21503000,21502999,21022801,chr1,NHEK|chr1:21022801-21502999,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179384,0.0808888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031410466666666664,0.0,4.3333333333333334e-05,0.0,0.0277346,0.02618025,0.0,0.0,0.0,0.0406969,0.02987133333333333,0.0,0.0881217,0.0,0.0,0.0,0.03921908996039501,0.011274733333333333,0.032687466666666665,0.0006210846391965146,0.0007272756238051806,0.0,1.3817217064627515e-06,3.78894331088426e-05,0.00012279663805346962,0.0007372853073107344,1.3742935205894235e-05,0.002499893106593529,0.0006754640169263511,0.0005794543500805918,0.0004979898291954569,0.0020112740786092415,0.0005737253382979521,0.00028349587045343793,2.3939708203699307e-05,0.00030638663634584073,0.00011878039397699283,0.00015842004756371332,0.0021021418873048057
"(350398, 1910998]",chr1,477598,21025400,NHEK|chr1:21024000-21025400,21024000,1,chr1,21503600,NHEK|chr1:21503000-21503600,21503000,21502999,21025401,chr1,NHEK|chr1:21025401-21502999,1,1,0.0,0.00151665,0.0,1.3357142857142858e-05,0.001971192857142857,0.0,0.015372050000000003,0.0,0.0,0.005964928571428571,0.003873728571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00410195,0.006149999999999999,0.0,0.031410466666666664,0.0,4.3333333333333334e-05,0.0,0.0277346,0.02618025,0.0,0.0,0.0,0.0406969,0.02987133333333333,0.0,0.0881217,0.0,0.0,0.0,0.03921908996039501,0.011274733333333333,0.032687466666666665,0.0003299815584879895,0.0006936248895514641,0.0,1.2573335734236748e-06,3.2317472016214474e-05,9.28972692515463e-05,0.00069623838458285,1.3817750493092517e-05,0.0025135022969107897,0.0006660081281747412,0.000537380474792608,0.0004373522502188033,0.0020222232714542368,0.0005445510659592377,0.0002850391961440374,2.4070033794111364e-05,0.00030805457728047444,0.0001194270236202078,0.00014725827997604681,0.0020955580425378517
"[43598, 119798]",chr1,102198,26222200,NHEK|chr1:26221800-26222200,26221800,1,chr1,26324800,NHEK|chr1:26324400-26324800,26324400,26324399,26222201,chr1,NHEK|chr1:26222201-26324399,3,0,0.705083332793825,0.026667625,0.0,5.25e-05,0.0,0.0,0.0,0.0,0.0,0.015812375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6555415870212999,0.028308975,0.0,5.25e-05,0.0,0.02136595,0.040731175,0.0,0.0,0.0,0.108296525,0.076548375,0.0,0.077983225,0.0,0.0,0.0,0.07475996305557675,0.0,0.0278,0.0029854372756937817,0.0004874686393080099,0.0,1.9139317794868785e-06,0.0,0.0007591638779623865,0.0005924585608328931,0.00010148809174347835,0.0018225734358793717,0.0005804950194720053,0.0010521827237323627,0.0009531323509266326,0.00026880154210454213,0.0009851773028826396,0.00014768870232294176,3.70666744946085e-05,3.3921309614669565e-05,0.0002926083213197,0.00011347648681970294,0.0019565335916554138
"[43598, 119798]",chr1,101998,26222400,NHEK|chr1:26222200-26222400,26222200,1,chr1,26324800,NHEK|chr1:26324400-26324800,26324400,26324399,26222401,chr1,NHEK|chr1:26222401-26324399,2,0,1.41016666558765,0.0,0.0,0.0001955,0.0,0.0,0.0,0.0,0.0,0.03162475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6555415870212999,0.028308975,0.0,5.25e-05,0.0,0.02136595,0.040731175,0.0,0.0,0.0,0.108296525,0.076548375,0.0,0.077983225,0.0,0.0,0.0,0.07475996305557675,0.0,0.0278,0.00022620429404324695,0.0004884244789113512,0.0,1.7117982705543246e-06,0.0,0.0007606524637737992,0.0005936202670640601,0.00010168709190376283,0.0018261471793564583,0.000581633267318967,0.0010542458675660306,0.0009550012745347948,0.0002693286142865546,0.0009871090609619797,0.00014797829369203318,3.713935567364066e-05,3.398782329065276e-05,0.00029318207437626915,0.0001136989940979235,0.001960370007255044
"[43598, 119798]",chr1,100998,26223400,NHEK|chr1:26223200-26223400,26223200,1,chr1,26324800,NHEK|chr1:26324400-26324800,26324400,26324399,26223401,chr1,NHEK|chr1:26223401-26324399,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020888749999999998,0.03162475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6555415870212999,0.028308975,0.0,5.25e-05,0.0,0.02136595,0.040731175,0.0,0.0,0.0,0.108296525,0.076548375,0.0,0.077983225,0.0,0.0,0.0,0.07475996305557675,0.0,0.0278,0.00022844398486923605,0.0004623225212380443,0.0,1.5495356343689974e-06,0.0,0.000736343392938474,0.0005994978118378583,0.00010269391473098478,0.0018442282025386645,0.0005247676191607754,0.0010646841521614288,0.0009644569199390087,0.0002719952870353868,0.0009968826115368623,0.00014944345432582823,3.7507079348105904e-05,3.432434305629815e-05,0.0002960849246740599,0.0001148247490049308,0.001979779995643478
"(251399, 350398]",chr1,293798,27425200,NHEK|chr1:27424800-27425200,27424800,1,chr1,27719200,NHEK|chr1:27719000-27719200,27719000,27718999,27425201,chr1,NHEK|chr1:27425201-27718999,5,2,0.0,0.007583250000000001,0.0,4.175e-05,0.0,0.0097883,0.040024050000000005,0.0,0.0,0.06241485,0.0264452,0.018637825,0.0,0.028985599999999997,0.006343625,0.0,0.0,0.0,0.0,0.0,0.22762958226458,0.05670505000000001,0.0,0.0,0.0,0.037941199999999994,0.10435865,0.0,0.0,0.0,0.21794130000000003,0.16455389999999998,0.0,0.2932877,0.0,0.0,0.0,0.0,0.0157223,0.040225,0.006678861106904417,0.0015351267537559816,0.0,2.909822394978863e-06,4.894369600882239e-05,0.0007261359505510588,0.0010814350335945104,4.825761237312711e-05,0.0020251329144514276,0.0014562223023982463,0.0012208822388171461,0.0009818640017971532,0.0012011679793599683,0.0012430407627009037,0.0005346998277728235,4.3176298000667126e-05,0.000533206318627084,0.00023162337084564057,0.0004757057570167257,0.0026769750304630998
"(251399, 350398]",chr1,292198,27426800,NHEK|chr1:27426400-27426800,27426400,1,chr1,27719200,NHEK|chr1:27719000-27719200,27719000,27718999,27426801,chr1,NHEK|chr1:27426801-27718999,4,2,0.0,0.0110645,0.0,3.8e-05,0.0,0.0,0.040024050000000005,0.0,0.0,0.06241485,0.0,0.0,0.0,0.028985599999999997,0.0,0.0,0.0,0.0,0.009612174999999999,0.042434200000000005,0.22762958226458,0.05670505000000001,0.0,0.0,0.0,0.037941199999999994,0.10435865,0.0,0.0,0.0,0.21794130000000003,0.16455389999999998,0.0,0.2932877,0.0,0.0,0.0,0.0,0.0157223,0.040225,0.006715432807501434,0.0014706822428627161,0.0,2.7724351296038987e-06,4.9211698916488134e-05,0.0007301120815337543,0.001032566376224341,4.852185846583481e-05,0.002023542974284562,0.0014641961957302925,0.0011913657177667195,0.0009755537341118011,0.00120774526177455,0.001210167934072102,0.0005114737267195532,4.341272014182164e-05,0.0005237335642269968,0.00023289167998311933,0.0004783105976084709,0.0025043908240302776
"(251399, 350398]",chr1,280398,27438600,NHEK|chr1:27438000-27438600,27438000,1,chr1,27719200,NHEK|chr1:27719000-27719200,27719000,27718999,27438601,chr1,NHEK|chr1:27438601-27718999,3,2,0.0,0.04766926666666667,0.0,6.6e-05,0.0,0.0,0.04659668333333333,0.0,0.0087637,0.02048645,0.014550733333333333,0.006385066666666666,0.006274699999999999,0.01485395,0.0,0.0,0.007312300000000001,0.05043415742674051,0.0,0.0,0.22762958226458,0.05670505000000001,0.0,0.0,0.0,0.037941199999999994,0.10435865,0.0,0.0,0.0,0.21794130000000003,0.16455389999999998,0.0,0.2932877,0.0,0.0,0.0,0.0,0.0157223,0.040225,0.006109900222573758,0.001475798436508106,0.0,2.7493063431265555e-06,5.128267676659605e-05,0.0007608374168146704,0.0010276327220593584,5.0563805733279125e-05,0.001746496551330609,0.001429191934321928,0.0012415020078602554,0.001002945135129352,0.0011330820476608248,0.0012145887274516939,0.0004998806339560197,4.5239659341364775e-05,0.0005301268910619906,0.00024269246965993876,0.0004304185479211692,0.00241215996547764
